English,EN Definition,Spanish,ES Definition,https://www.saccourt.ca.gov/general/legal-glossaries/docs/spanish-legal-glossary.pdf
CRIMINAL RECORD,(1) Arrest record. A written account listing all the instances in which a person has been arrested.  (2) A form completed by a police officer when a person is arrested.,REGISTRO CRIMINAL,(1) Registro del arresto. Una lista de todos los casos en los que una persona ha sido detenida. (2) Un formulario completado por un oficial de policía cuando una persona es detenida.,
CRIMINAL STREET GANG,"An ongoing organization, association, or group of three or more persons, having as one of its primary activities the commission of one or more criminal acts, having a common name or common identifying sign or symbol, and whose members individually or collectively engage in or have engaged in a pattern of criminal gang activity.",PANDILLA CALLEJERA DELICTIVA,"Una organización permanente, asociación, o grupo de tres o más personas, cuyas actividades primarias son la comisión de uno o más actos delictivos, que tienen un nombre común o se identifican con un símbolo o signo común, y cuyos miembros participan colectivamente o han participado en actividades delictivas típicas de pandillas.",
CRIMINAL SUMMONS,An order commanding an accused to appear in court.,CITACIÓN PENAL,Una orden que compele a un acusado a comparecer en el tribunal.,
CROSS CLAIM,A claim filed by defendant(s) or plaintiff(s) against each other.,CONTRARRECLAMACIÓN,Un reclamo presentado por el acusado (o acusados) o el demandante (o demandantes) uno contra otro.,
CROSS EXAMINATION,When the other side's lawyer asks a witness questions in a hearing or trial.,CONTRAINTERROGATORIOS,Cuando el abogado opositor hace preguntas a los testigos en una audiencia o juicio.,
CUMULATIVE SENTENCES,"Sentences for two or more crimes to run a consecutively, rather than concurrently. (See CONCURRENT SENTENCES AND CONSECUTIVE SENTENCES.)",SENTENCIAS ACUMULATIVAS,Sentencias por dos o más delitos que son impuestas consecutivamente en lugar de simultáneamente.,
CUSTODIAL PARENT,"The parent that has primary care, custody, and control of the child(ren).",PADRE EN CUSTODIA,"El padre que tiene el cuidado primario, la custodia y el control de un niño o niños.",
CUSTODY,(1) When someone is under the physical control of the court to make sure they go to court when they're supposed to; (2) when the judge sends a person to jail after they are found guilty of a crime; (3) the care and control of children.,CUSTODIA,(1) Cuando alguien está bajo el control físico del tribunal para cerciorarse que ellos comparezcan ante el tribunal cuando están obligados a hacerlo; (2) cuando un juez envía a una persona a la cárcel después de que ha sido declarada culpable de un delito; (3) el cuidado y el control de los niños.,
CUSTODY ORDER,"A court order that says who a child will live with and who should make decisions about health care, education, and other important things.",ORDEN DE CUSTODIA,"Una orden judicial que declara con quién un niño vivirá y quien debe tomar las decisiones acerca de asistencia médica, educación, y de otros asuntos importantes.",
CUSTOM,"A usage or practice of the people, which, by common adoption and acquiescence, has become compulsory.",COSTUMBRE,"El uso o práctica de las personas, que, por la adopción y el consentimiento comunes, ha llegado a ser compulsiva.",
DAMAGES,"Money that the losing side must pay to the winning side to make up for losses or injuries. There are two kinds of damages: (1) ""compensatory,"" meaning money to pay for the actual cost of an injury or loss; and (2) ""punitive"" or ""exemplary,"" meaning an amount of money that's more than the actual damages. This is a punishment for willful or malicious acts.",DAÑOS,"Dinero que la parte que pierde debe pagar a la parte victoriosa para cubrir por las pérdidas o daños. Hay dos clases de daños: (1) “compensatorio”, que significa pagos  por el costo real de los daños  o pérdidas; y (2) “punitivo” o “ejemplar” que significa  cantidad de dinero mayor que los daños reales. Esto es un castigo por la comisión de actos voluntarios o maliciosos.",
DEADLY WEAPON,"Any weapon, instrument or object that is capable of being used to inflict death or great bodily injury.",ARMA MORTÍFERA,"Cualquier arma, instrumento u objeto capaz de ser utilizado para ocasionar muerte o lesión grave.",
DEATH PENALTY,Death imposed by the state as punishment for a serious crime. (See CAPITAL PUNISHMENT.),PENA DE MUERTE,Pena de muerte impuesta por el estado como castigo por un crimen grave (ver PENA CAPITAL).,
DEATH ROW,The area of a state or federal prison where criminals who are sentenced to death are confined until their sentence is commuted or carried out.,PABELLÓN DE LA MUERTE,El área de una prisión estatal o federal en la que los criminales sentenciados a  muerte son detenidos hasta que su sentencia sea conmutada o  llevada a cabo.,
DECEDENT,"In criminal law, it means a murder victim; in probate law, it means a dead person.",DIFUNTO,"En el derecho penal, significa  una víctima de asesinato; en la ley del de sucesiones y testamentos, significa  una persona muerta.",
DECISION,"A court's judgment or decree that settles a dispute. (See also DECREE, JUDGMENT.)",DECISIÓN,"El fallo o decreto del tribunal que concluye una disputa. (Ver DECRETO, SENTENCIA).",
DECLARATION,"A statement that a person writes and files with the court. It tells the judge why the person should win the case. Sometimes, a person signs this under penalty of perjury.",DECLARACIÓN,"Un documento que una persona escribe y presenta ante el tribunal. Le indica al juez por qué debe ganar el caso. A veces, una persona firma la declaración bajo pena de perjurio.",
DECLARATION OF PATERNITY,"Form signed by unmarried parents, generally at the hospital, where the parents declare who is the father of the child.",DECLARACIÓN DE PATERNIDAD,"Formulario firmado por padres solteros, generalmente en el hospital, en el que declaran quién es el padre del niño.",
DECLARATORY JUDGMENT,A judgment of the court that explains what the existing law is or expresses the opinion of the court without the need for enforcement.,SENTENCIA DECLARATIVA,Un fallo del tribunal que explica cuál es la ley existente o expresa la opinión del tribunal sin  necesidad de ser ejecutada.,
DECREE,"A court decision. It can be (1) ""interlocutory,"" which means it is not a final decision, or (2) ""final,"" which means all issues of the case are settled.",DECRETO,"Una decisión del tribunal. Puede ser (1) “interlocutorio” que significa que no es una decisión final, o (2) “final”, que todos asuntos del caso han sido concluidos.",
DE FACTO PARENT,"A person found by the court to have assumed, on a day–to–day basis, the role of parent, fulfilling both the child's physical and psychological needs for care and affection, and who has assumed that role for a substantial period.",PADRE  DE HECHO,"Una persona  determinada por el tribunal de haber asumido por completo el papel de padre, satisfaciendo las necesidades físicas y psicológicas de cuidado y cariño del niño, y que ha asumido ese papel por un periodo substancial.",
DE FACTO,"To exercise power in a juvenile dependency case. Latin meaning ""from the fact.""",DE HECHO,Ejercer el poder en un caso de dependencia juvenil. Del latín y significa “de hecho.”,
DEFAMATION,"When one person hurts another person's character, fame, or reputation by making false and malicious statements that are not protected by law.",DIFAMACIÓN,"Cuando una persona perjudica el carácter, la fama, o la reputación de otra persona haciendo declaraciones falsas y maliciosas que no son protegidas por la ley.",
DEFAULT,"When a defendant in a civil case doesn't file an answer or go to court when they're supposed to, but was properly notified.",INCOMPARECENCIA,"Cuando un demandado en un caso civil no presenta una respuesta o no comparece ante el tribunal como ha sido ordenado, después de ser notificado apropiadamente.",
DEFAULT JUDGEMENT,A court decision in favor of the plaintiff when the defendant doesn't answer or go to court when they're supposed to.,FALLO POR INCOMPARECENCIA,Una decisión del tribunal a favor del demandante cuando el acusado no contesta ni comparece ante el tribunal cuando debe hacerlo.,
DEFENDANT,"In a civil case, the person or company being sued. In a criminal or traffic case, the person accused of the crime.",EL DEMANDADO O ACUSADO,"En un caso civil, la persona o la compañía que es enjuiciada. En un caso penal o de tráfico, la persona acusada de un delito.",
DEFENSE,"In a civil case, the facts or arguments presented by the defendant to show why the plaintiff doesn't have a right to the relief asked for. In a criminal case, the reasons why a defendant should not be convicted of the charge(s).",DEFENSA,"En un caso civil, los hechos o argumentos presentados por el demandado para mostrar por qué el demandante no tiene derecho a la reparación solicitada. En un caso penal, las razones por las cuales un acusado no debe ser condenado por los cargos en su contra.",
DEFENSE ATTORNEY,"In a criminal case, the lawyer that represents the accused person (called the ""defendant"").",ABOGADO DEFENSOR,"En un caso penal, el abogado que representa al acusado.",
DEFRAUD,"To make a misrepresentation of an existing material fact, knowing it to be false or making it recklessly without regard to whether it is true or false.  To practice fraud; to cheat or trick.  To deprive a person of property or any interest, estate, or right by fraud, deceit or artifice.",DEFRAUDAR,"Deformar un hecho material existente, a sabiendas que es falso o haciéndolo descuidadamente sin considerar si es verdadero o falso. Practicar el fraude, estafar o engañar. Privar a una persona de su propiedad o cualquier interés, de su patrimonio, o derechos por fraude, engaño o artificio.",
DEGREE,Scope of an action or charge.,GRADO,Alcance de una acción o cargo.,
DELIBERATE,To consider all the evidence and arguments related to a case that were presented in court.,DELIBERAR,Considerar toda la evidencia y los argumentos relacionados a un caso que ha sido presentado en el tribunal.,
DELIBERATION,"When a jury, for either a civil or criminal case, goes into the jury room to discuss the evidence and testimony and reach a verdict.",DELIBERACIÓN,"Cuando un jurado, en un caso civil o penal, entra en la habitación designada al jurado para discutir la evidencia y el testimonio y obtener un veredicto.",
DELINQUENCY COURT,The division of the Juvenile Court hearing cases where juveniles have been charged with committing a crime.,TRIBUNAL DE DELINCUENCIA,La división del tribunal juvenil que conoce casos en los cuales menores han sido acusados de haber cometido un delito.,
"DELINQUENCY, JUVENILE","Antisocial behavior by a minor; especially behavior that would be criminally punishable if the minor were an adult, but instead is usually punished by special laws pertaining only to minors.",DELINCUENCIA JUVENIL,"La conducta antisocial de un menor; especialmente un comportamiento que sería penalmente punible si el menor fuera un adulto, pero en su lugar es castigado generalmente por las leyes especiales aplicables sólo a menores.",
DEMURRER,"When a defendant says the facts presented by a plaintiff may be true, but they aren't enough to prove the defendant's legal responsibility.",OBJECIÓN/EXCEPCIÓN,"Cuando un acusado declara que los hechos presentados por un demandante pueden ser verdaderos, pero no son suficientes para demostrar la responsabilidad legal del acusado.",
DE NOVO,A hearing to determine if there is sufficient evidence to sustain a juvenile court petition.,DE NOVO,"Empezar un caso de nuevo como si no se hubiese tratado antes. En el latín, Novo significa ""nuevo"".",
DEPENDENCY COURT,The division of the Juvenile Court hearing cases of child abuse and neglect.,TRIBUNAL DE DEPENDENCIA,La división del Tribunal Juvenil que oye los casos de abuso y descuido infantil.,
DEPENDENT CHILD,"In family law, this usually means a child that is financially supported by another person. In juvenile law, this means a minor that is in the custody of the court because he or she was abused, neglected, or molested or is physically dangerous to the public because of a mental or physical disorder.",NIÑO DEPENDIENTE,"En la ley de familia, usualmente significa un niño que es mantenido económicamente por otra persona. En la ley juvenil, significa  un menor bajo la custodia del tribunal por haber sido abusado, descuidado o acosado sexualmente o que es físicamente peligroso para el público por razones de desorden mental o físico.",
DEPORTATION,"The act of removing a person to another country. Order issued by an immigration judge, expelling an illegal resident from the United States. A deportation has certain consequences regarding the number of years within which a deportee may not legally immigrate. There are also criminal consequences for reentry within a prescribed time period.",DEPORTACIÓN,"El acto de enviar a una persona a otro país. Orden expedida por un juez de inmigración, expulsando a un residente ilegal de los Estados Unidos. Una deportación tiene ciertas consecuencias con respecto al número de años dentro de los cuales un deportado no puede inmigrar legalmente. Hay también consecuencias  penales para el reingreso dentro de un periodo de tiempo prescrito.",
DEPOSITION,"Written or oral testimony given under oath in front of an authorized third person like a court reporter. Depositions take place outside of the court. They allow the parties to get a record of a person's testimony, or to get testimony from a witness that lives far away. They can help the lawyers prepare their court papers called ""pleadings."" (See also DISCOVERY.)",DEPOSICIÓN,"Testimonio escrito u oral dado bajo juramento ante una tercera persona autorizada como un relator del tribunal. Las deposiciones tienen lugar fuera del tribunal.  Permiten a las partes obtener un registro del testimonio de una persona, u obtener la declaración de un testigo que vive muy lejos. Pueden ayudar a los abogados a preparar sus documentos legales llamados “alegatos.” (Ver también DESCUBRIMIENTO)",
DEPRIVATION OF CUSTODY,"The court transfer of legal custody of a person from parents or legal guardian to another person, agency, or institution. It may be temporary or permanent.",PÉRDIDA DE LA CUSTODIA,"La transferencia por orden del tribunal de la custodia legal de una persona, de sus padres o guardián legal a otra persona, agencia o institución.  Podría ser temporal o permanente.",
DEPUTY,"One appointed to substitute for another with power to act for him in his name or on his behalf. For example, a Deputy County Clerk is appointed on behalf of the County Clerk.",DELEGADO,"Individuo designado para sustituir a otro con el poder de actuar en su nombre o de su parte. Por ejemplo, un Delegado del Secretario del Condado  es designado en nombre del Secretario del Condado.",
DEPUTY D.A.,An assistant lawyer to the district attorney.,DELEGADO DEL FISCAL DE DISTRITO,Un abogado auxiliar del fiscal del distrito.,
DESCENT AND DISTRBUTION STATUTES,State laws that provide for the distribution of estate property of a person who dies without a will. Same as INTESTACY LAWS.,ESTATUTOS DE DESCENDENCIA Y DISTRIBUCIÓN,Leyes estatales que estipulan la distribución del patrimonio de una persona que muere sin  testamento.,
DESTRUCTIVE DEVICE/EXPLOSIVE,"any substance, the purpose of which is detonation or rapid combustion, and which is capable of rapid release of gas and heat.",ARTEFACTO DESTRUCTIVO O EXPLOSIVO,"Cualquier sustancia, cuyo propósito es la detonación o combustión rápida, y que es capaz de despedir rápidamente gas y calor.",
DETENTION,When a person is temporarily locked up until the court makes a final decision.,DETENCIÓN,Cuando una persona es encarcelada temporalmente hasta que el tribunal tome una decisión final.,
DETENTION HEARING,The initial hearing in Dependency Court soon after the child has been removed from the parent.,AUDIENCIA DE DETENCIÓN,La audiencia inicial en el Tribunal de Dependencia poco después de que el niño ha sido quitado a sus padres.,
DETERMINATE (SENTENCE),Confinement for a fixed period as specified by statute.,SENTENCIA DETERMINADA,El encarcelamiento por un periodo fijo de acuerdo a lo especificado por el estatuto.,
DEVELOPMENTALLY DISABLED,"Those persons, not psychotic, who are so developmentally disabled from infancy or before reaching maturity that they are incapable of managing themselves and their affairs independently, with ordinary prudence, or of being taught to do so, and who require supervision, control, and care for their own welfare, or for the welfare of others, or for the welfare of the community. (Formerly termed ""mentally retarded."")",INCAPACITADO EN EL DESARROLLO,"Aquellas personas, no psicóticas, que son tan incapacitados en su desarrollo desde la infancia o antes de alcanzar la madurez y que son incapaces de manejarse a sí mismos y sus asuntos independientemente, con prudencia ordinaria, o de ser enseñados a actuar así, y que requieren supervisión, control, y cuidado para su propio bienestar, o el de otros, o de la comunidad. (Llamado anteriormente ""retrasado mental”).",
DEVISE,A gift of real property by a will.,LEGADO,Un obsequio de bienes raíces por medio de un testamento.,
DEVISEE,A person who receives real property by will.,LEGATARIO,Una persona que recibe bienes raíces por medio de un testamento.,
DIRECT EVIDENCE,Proof of facts by witnesses who saw acts done or heard words spoken.,EVIDENCIA DIRECTA,Prueba de hechos por testigos que presenciaron los actos o escucharon las palabras.,
DIRECT EXAMINATION,When a witness testifies and answers questions asked by the party that asked them to testify. (Compare CROSS–EXAMINATION.),EXAMEN DIRECTO,Cuando un testigo declara y contesta  preguntas hechas por la parte que le pidió que testifique.,
DIRECTED VERDICT,An instruction by the judge to the jury to return a specific verdict. Now called Judgment as a Matter of Law.,FALLO DIRIGIDO,Una instrucción del juez al jurado para que llegue a un veredicto específico. Ahora llamado “Fallo por cuestión de derecho”.,
DISBARMENT,Form of discipline of a lawyer resulting in the loss (often permanently) of that lawyer's right to practice law. It differs from censure (an official reprimand or condemnation) and from suspension (a temporary loss of the right to practice law).,EXCLUSIÓN DEL EJERCICIO DE ABOGACÍA,"Forma de disciplina a un abogado que tiene como resultado la pérdida (por lo general, permanente) del derecho de ejercer su profesión. Se distingue de la censura (una reprimenda o condena oficial) y de la suspensión (una pérdida temporal del derecho de ejercer la ley).",
DISCLAIM,To refuse a gift made in a will.,RENUNCIAR,Rehusar un obsequio hecho en un testamento.,
DISCLAIMER,"The repudiation or renunciation of a claim or power vested in a person or which he had formerly alleged to be his. The disavowal, denial, or renunciation of an interest, right, or property imputed to a person or alleged to be his.",RENUNCIA,"El repudio o renuncia de un reclamo o poder concedido a una persona o a alguien que había alegado anteriormente ser suyo. La desautorización, negación, o renuncia de un interés, derecho, o propiedad imputados a una persona o que se presumen ser suyos.",
DISCOVERY,"The gathering of information (facts, documents, or testimony) before a case goes to trial. Discovery is done in many ways, such as through depositions, interrogations, or requests for admissions. It can also be done through independent investigation or by talking with the other side's lawyer.",DESCUBRIMIENTO,"La recolección de información (hechos, documentos, o testimonio) antes de que un caso llegue  a un tribunal. El descubrimiento se hace en muchas maneras, tales como deposiciones, interrogatorios, o pedidos de confesión. Se puede hacer también por investigación independiente o hablando con el  abogado opositor.",
DISCOVERY MOTION,A motion to have evidence disclosed to the moving party.,MOCIÓN PARA DESCUBRIR,Una moción para conseguir que la evidencia sea revelada a la parte que pide dicha informacion.,
DISCRIMINATION,An act which confers particular privileges on a class arbitrarily selected.,DISCRIMINACIÓN,Un acto que otorga privilegios particulares a una clase de personas arbitrariamente seleccionada.,
DISMISS,To terminate legal action involving outstanding charges against a defendant in a criminal case.,DESESTIMAR,Terminar la acción legal que involucra cargos pendientes contra el acusado en un caso penal.,
DISMISSAL WITH PREJUDICE,When a court dismisses a case and will not allow any other suit to be filed on the same claim in the future.,DENEGACIÓN CON PREJUICIO,Cuando un tribunal desestima un caso y no permite que ningún otro juicio sea entablado sobre la misma demanda en el futuro.,
DISMISSAL WITHOUT PREJUDICE,"When a court dismisses a case, but will allow other suits to be filed on the same claim.",DENEGACIÓN SIN PREJUICIO,Cuando un tribunal desestima un caso pero permite que otros juicios sean entablados sobre la misma demanda.,
DISORDERLY CONDUCT,"Any behavior, contrary to law, which disturbs the public peace or decorum, scandalizes the community, or shocks the public sense of morality.",CONDUCTA DESORDENADA,"Cualquier comportamiento, contrario a la ley, que disturba la paz o el decoro, escandaliza a la comunidad,  u ofende el sentido público de la moralidad.",
DISPARITY,Marked difference in quantity or quality between two things.,DISPARIDAD,La diferencia marcada en cantidad o calidad entre dos cosas.,
DISPOSITION,The final decision by the court in a dispute.,DISPOSICIÓN,La decisión final del tribunal en una disputa.,
DISPOSITIONAL HEARING,"The hearing held after a petition is sustained (allegation found true), to determine whether the child will become a dependent of the court, where the child will reside, and what reunification services, if any, will be provided to the parent.",AUDIENCIA DE DISPOSICIÓN,"La audiencia que ocurre después de que una petición ha sido sostenida (las alegaciones han sido determinadas como verídicas), para determinar si el niño será dependiente del tribunal, dónde residirá, y si servicios de reunificacián serán proporcionados a los padres.",
DISSENT,To disagree. An appellate court opinion setting forth the minority view and outlining the disagreement of one or more judges with the decision of the majority.,DISENCIÓN,Estar en desacuerdo. Una opinión del tribunal de apelaciones que establece la perspectiva de la minoría y delínea la discrepancia de uno o más jueces con la decisión de la mayoría.,
DISSOLUTION,"A marriage that is ended by a judge's decision, also known as a ""divorce."" (Compare NULLITY.)",DISOLUCIÓN,"El acto de terminar un matrimonio por la decisión de un juez, también conocido como “divorcio.” (comparar con NULIDAD).",
DISSOLUTION OF A MARRIAGE,The act of terminating a marriage; divorce; but the term does not include annulment.,DISOLUCIÓN DE UN MATRIMONIO,"El acto de terminar un matrimonio;  divorcio, pero el término no incluye anulación.",
DISTINCTIVELY MARKED,"A vehicle, operated by a peace officer, is “distinctively marked” when in addition to a lighted red lamp and activated siren, the vehicle is of such appearance that a reasonable person would be able to recognize it as a peace officer’s vehicle, and a person fleeing is on reasonable notice that pursuit is by a peace officer.",DISTINTIVAMENTE MARCADO,"Un vehículo, operado por un oficial del orden público, es “marcado distintivamente”cuando además de una lámpara roja y sirena activada, el vehículo es de tal apariencia que una persona razonable sería capaz de reconocerlo como un vehículo de policía, y una persona que huye está razonablemente notificada que esa persecución es por un oficial del orden público.",
DISTRICT ATTORNEY,A lawyer appointed or elected to represent the state in criminal cases in his or her respective judicial districts. (See PROSECUTOR.),FISCAL DEL DISTRITO,Un abogado designado o elegido para representar  al estado en casos penales en sus distritos judiciales respectivos. (Ver ACUSADOR).,
DISTURBING THE PEACE,"Conduct which tends to annoy all citizens, including unnecessary and distracting noisemaking.",PERTURBAR LA PAZ,"Conducta que tiende a molestar a todos los ciudadanos, incluye ruido innecesario y que distrae.",
DIVERSION,"Instead of going to jail, a defendant goes to a rehabilitation (""rehab"") program and is supervised by a probation officer. When the defendant finishes the program, the charges are dismissed and the defendant is not sentenced. (Compare ELECTRONIC MONITORING, HOME MONITORING.)",PROGRAMA ALTERNATIVO,"En vez de ser encarcelado, un acusado va a un programa de la rehabilitación y es supervisado por un oficial de libertad condicional. Cuando el acusado termina el programa, los cargos se desechan y el acusado no es sentenciado. (Comparar con SUPERVISIÓN ELECTRÓNICA, ARRESTO DOMICILIARIO CON MONITOREO).",
DIVORCE,A common name for a marriage that is legally ended. See DISSOLUTION.,DIVORCIO,Un nombre común para un matrimonio que es terminado legalmente. Ver DISOLUCIÓN.,
DOCKET,A record with the complete history of each case a court hears. It contains short chronological summaries of the court proceedings.,ORDEN DEL DÍA,Un registro con la historia completa de cada audiencia que un tribunal conoce. Contiene resúmenes cronológicos de los procedimientos del tribunal.,
DOCKET NUMBER,Identification number that the court clerk's office gives a case. This number is on all papers filed in the case. Also called CASE NUMBER.,NÚMERO DE EXPEDIENTE,Número de identificación que la secretaría del tribunal da a un caso. Este número está registrado en todos los documentos de un caso. También conocido como NÚMERO DE CASO.,
DOE,"Used in law courts, legal papers, etc., to refer to any person whose name is unknown.",NOMBRE FINGIDO,"Usado en tribunales, documentos legales, etc., para referirse a cualquier persona cuyo nombre es desconocido.",
DOMESTIC VIOLENCE,An assault committed by one member of a household against another.,VIOLENCIA DOMÉSTICA,Una agresión cometida por un miembro de un hogar contra otro.,
DOMICILE,"The place where a person has his or her permanent legal home. A person may have several residences, but only one domicile.",DOMICILIO,"Lugar donde una persona ocupa su hogar legal permanente. Una persona puede tener varias residencias, pero sólo un hogar.",
DOUBLE JEOPARDY,The constitutional prohibition under the Fifth Amendment against a person being put on trial more than once for the same offense.,DOBLE RIESGO,La prohibición constitucional bajo la Quinta Enmienda en contra de que una persona sea enjuiciada más de una vez por el mismo delito.,
DRIVE–BY MURDER,"Murder perpetrated by means of discharging a firearm from a motor vehicle intentionally at another person outside of the vehicle. When the perpetrator specifically intended to inflict death, the murder is of the first degree.",ASESINATO COMETIDO DESDE UN AUTOMÓVIL,"Asesinato perpetrado al descargar un arma de fuego desde un coche intencionalmente en contra de otra persona fuera del vehículo. Cuando el perpetrador pensó específicamente causar la muerte, el asesinato es de primer grado.",
DRIVING WHILE INTOXICATED (DWI),"The unlawful operation of a motor vehicle while under the influence of drugs or alcohol. In some jurisdictions it is synonymous with DRIVING UNDER THE INFLUENCE (DUI), but in others, driving while intoxicated is a more serious offense than driving under the influence.",MANEJAR INTOXICADO,"La operación ilegal de un automóvil bajo la influencia de drogas o alcohol, en algunas jurisdicciones es sinónimo con MANEJAR BAJO LA INFLUENCIA (DUI), pero en otros, manejar intoxicado es una ofensa más grave que manejar bajo la influencia.",
DRUNK DRIVING,The operation of a vehicle in an impaired state after consuming alcohol that when tested is above the state's legal alcohol limit.,MANEJAR EN ESTADO DE EBRIEDAD,La operación de un vehículo cuando una persona no está en control de sus sentidos después del consumo de alcohol y cuando el conductor es examinado y excede el límite legal de alcohol de ese estado.,
DUE PROCESS OF LAW,"The regular way that the law is administered through the courts. The U.S. Constitution says that everyone has to have a day in court, has the right to be represented by a lawyer, and the right to benefit from court procedures that are speedy, fair, and impartial.",PROCEDIMIENTO LEGAL DEBIDO,"La manera regular que los tribunales administran la ley. La Constitución de los Estados Unidos declara que todos tienen derecho a juicio, el derecho de ser representados por un abogado, y el derecho al beneficio de los procedimientos legales rápidos, justos e imparciales.",
DURESS ,Consists in any illegal imprisonment or threats of bodily harm in order to coerce the will of another and inducing him to do an act contrary to his free will.,COACCIÓN,Consiste en el encarcelamiento o amenazas ilegales de daños corporales para coaccionar la voluntad de otra persona o induciéndola a cometer un acto contra su voluntad.,
EASEMENTS ,A right of use over the property of another.,SERVIDUMBRES,Los derechos de uso sobre la propiedad de otros.,
ELEAZER MOTION,A motion to require prosecution to disclose the whereabouts of an informant or show that reasonable effort has been made to locate him.,MOCIÓN ELEAZER,Una moción que requiere que el fiscal revele el paradero de un informante o demuestre ha hecho esfuerzos razonables para localizarlo.,
ELECTRONIC MONITORING,"Use of an electronic device to keep an eye on where a sentenced person is in the community and to restrict his or her activities, instead of putting the person in jail.  (See also HOME MONITORING).",SUPERVISIÓN ELECTRÓNICA,"Uso de un dispositivo electrónico para mantenerse al tanto de la localización en la comunidad de una persona sentenciada y para restringir sus actividades, en lugar de poner a la persona en la cárcel.",
ELECTRONIC TECHNOLOGY,"includes, but is not limited to computer modem, magnetic media, optical disk, facsimile machine, or telephone.",TECNOLOGÍA ELECTRÓNICA,"Incluye, pero no es limitada al módem de la computadora, a medios magnéticos, a disco óptico, a máquina facsímil, o al teléfono.",
ELEMENTS OF A CRIME,"Specific factors that define a crime which the prosecution must prove beyond a reasonable doubt in order to obtain a conviction. The elements that must be proven are 1) that a crime has actually occurred, 2) that the accused intended the crime to happen, and 3) a timely relationship between the first two factors.",ELEMENTOS DE UN DELITO,"Los factores específicos que definen un delito que la fiscalía debe demostrar más allá de una duda razonable para obtener una condena. Los elementos que deben ser probados son 1) que un delito ha ocurrido verdaderamente, 2) que el acusado intentó que el delito ocurriera, y 3) una relación oportuna entre los primeros dos factores.",
EMANCIPATION,"A legal way for children to become adults before they are 18. Once a child is emancipated, his or her parents don't have custody or control of him or her anymore.",EMANCIPACIÓN,"Una manera legal para que niños lleguen a ser adultos antes de cumplir los 18 años. Una vez que un niño es emancipado, sus padres ya no tienen la custodia sobre él o ella.",
EMBEZZLE,"To willfully take or convert to one's own use, another's money or property, which the wrongdoer initially acquired lawfully, because of some office, employment, or some position of trust.",MALVERSAR,"Tomar voluntariamente o usar para el propio beneficio el dinero o propiedad de otra persona que el malhechor adquirió inicialmente de una manera lícita, a causa de algún cargo, empleo o alguna posición de confianza.",
EMBEZZLEMENT,Taking property by a person to whom the property has been entrusted.,MALVERSACIÓN,Tomar ilícitamente propiedad por parte de quien dicha propiedad había sido confiada.,
EMINENT DOMAIN,The right of the state to take private property for public use after giving fair compensation to the owner.,DOMINIO EMINENTE,El derecho del estado de tomar propiedad privada para el uso público después de dar una compensación justa al dueño.,
EN BANC,"Court sessions where all the judges of a court participate, instead of the usual number. For example, the U.S. circuit courts of appeals usually use panels of three judges, but all the judges in the court may decide certain matters together. When that happens, they are sitting ""en banc"" (sometimes spelled ""in banc""). It comes from the French language and means ""on the bench.""",EN BANCO,"Las sesiones del tribunal en las que todos los jueces de un tribunal participan, en lugar del número usual. Por ejemplo, en los EE.UU. la audiencia del tribunal de apelaciones de circuito utiliza generalmente paneles de tres jueces, pero todos los jueces en el tribunal pueden decidir ciertos asuntos juntos. Cuando eso sucede, ellos se sientan “en banco”. Viene del francés y significa “en el banco.”",
ENDORSE,To sign your name on a document to authorize its contents or transfer (as in a check that is endorsed to transfer money).,ENDORSAR,Firmar su nombre en un documento para autorizar su contenido o transferencia (como en un cheque que se endorsa para transferir dinero).,
ENDORSED FILED COPIES,Copies of court papers that are stamped in the top right corner to show when they are filed. (Compare with CERTIFIED COPY.),COPIAS ARCHIVADAS ENDORSADAS,Copias de documentos de tribunal que se estampan en en la esquina superior derecha mostrando cuando son archivadas.,
"ENDORSEMENT, FORGERY BY",Falsely writing or endorsing check to cheat another person.,FRAUDE POR MEDIO DE ENDORSO,Falsamente firmar o endorsar un cheque para estafar a otra persona.,
ENHANCE,"To make greater in value, to increase.",AUMENTAR,"Hacer más grande en valor, aumentar.",
ENHANCEMENT,"An allegation added to a basic charge which, if proven, increases the basic sentence. Example: “use of a gun in the commission of a crime” may be added to the felony charge.",AUMENTO,"Una alegación añadida al cargo básico, que, si es probada, incrementa la sentencia básica. Por ejemplo, el uso de un arma en la comisión de un delito pede ser añadido a una carga de delito grave.",
ENJOINING,An order by the court telling a person to stop something.,PROHIBIR,Una orden del tribunal que obliga a una persona a dejar de hacer algo.,
ENTER A GUILTY PLEA,The formal statement before the court that the accused admits committing the criminal act.,DECLARARSE CULPABLE,La declaración formal ante el tribunal en la que el acusado admite haber cometido el acto delictivo.,
ENTRAPMENT,A defense to criminal charges alleging that agents of the government induced a person to commit a crime he or she otherwise would not have committed.,CELADA,Una defensa contra cargos penales que alegan que agentes del gobierno indujeron a una persona a cometer un delito que de otro modo no habría cometido.,
ENTRY OF DEFAULT,"The clerk's record that the defendant has defaulted by not answering, or not answering on time. The plaintiff must request this record entry.",DECLARACIÓN DE INCUMPLIMIENTO,El registro del secretario del tribunal en el consta que el acusado ha incumplido por no haber respondido o no haber respondido a tiempo. El demandante debe solicitar este registro.,
